First Name*,Middle Name,Last Name*,Email*,Phone,Date of Birth,Gender,Marital Status,Job Title,Department,Manager Email,Employment Type,Employment Status,Join Date,Probation End Date,Create User Account? (Yes/No),Username,Password,Access Role,Basic Salary,Housing Allowance,Transport Allowance,Medical Allowance,Lunch Allowance,Other Allowances,Bank Name,Bank Account Number,Bank Branch,Mobile Money Number,National ID*,Passport Number,TIN Number,NSSF Number,Address,City,District,Emergency Contact Name,Emergency Contact Phone,Emergency Contact Relationship,Notes
Namukwaya,,Nalwanga,namukwaya.nalwanga@company.co.ug,+256702901308,1982-08-07,Female,Married,HR Officer,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2015-04-19,,Yes,namukwaya.nalwanga,Welcome2025!,Supervisor,8091442,500000,450000,400000,100000,0,Stanbic Bank,9985335997,Central Branch,,CM714581289360,,3132681688,,"Plot 121, Ggaba Road",Jinja,Mbale,Lydia Nabukeera,+256755962884,Sibling,
Joseph,Geoffrey,Byaruhanga,joseph.byaruhanga@company.co.ug,+256743428877,1992-12-10,Male,Widowed,Sales Manager,Sales,manager.sales@company.co.ug,Full-time,Active,2017-05-10,2017-11-06,Yes,joseph.byaruhanga,Welcome2025!,Supervisor,2103805,1400000,400000,500000,0,0,DFCU Bank,3465924362,Kampala Main,,CM950274728560,,5828419755,70823197-55,"Plot 45, Old Kampala Road",Masaka,Kampala,Charles Tumwebaze,+256748410570,Friend,
Peter,,Ssekitto,peter.ssekitto@company.co.ug,+256722657931,1981-11-14,Male,Widowed,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2019-12-12,2020-06-09,No,,,,6864957,1000000,200000,400000,0,0,Centenary Bank,7427880561,Kampala Branch,,CM959211149726,,,32875078-46,"Plot 198, Ggaba Road",Gulu,Jinja,Prossy Okello,+256707650594,Friend,
Nantongo,,Nabukenya,nantongo.nabukenya@company.co.ug,+256763471469,1995-06-20,Female,Married,Project Manager,Management,,Full-time,Active,2022-08-08,,No,,,,4118703,700000,0,0,150000,100000,Stanbic Bank,6757459407,Kampala Branch,+256757066426,CM733470786318,,2272492191,,"Plot 217, Entebbe Road",Gulu,Mukono,Charles Nakandi,+256769252033,Parent,
Esther,Esther,Nabukeera,esther.nabukeera@company.co.ug,+256704295005,2003-01-05,Female,Married,Training Coordinator,Human Resources,,Full-time,Active,2023-02-01,,Yes,esther.nabukeera,Welcome2025!,Employee,3486312,1700000,0,0,200000,0,Equity Bank,5520579209,Central Branch,,CM968223517643,,6269037591,,"Plot 210, Old Kampala Road",Mbarara,Gulu,Charles Ssekitto,+256780311509,Sibling,
James,,Kato,james.kato@company.co.ug,+256712566743,1995-08-26,Male,Divorced,HR Officer,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2023-12-12,,Yes,james.kato,Welcome2025!,Supervisor,8109641,500000,0,450000,100000,1000000,Centenary Bank,8514360698,Central Branch,,CM888677814007,,8997075706,88619021-10,"Plot 115, Nakasero",Fort Portal,Kampala,Simon Ssekitto,+256714416135,Sibling,
Namukwaya,,Asiimwe,namukwaya.asiimwe@company.co.ug,+256745336214,1999-11-08,Female,Divorced,Sales Executive,Sales,manager.sales@company.co.ug,Full-time,Active,2016-09-11,,No,,,,8687241,0,350000,250000,250000,0,Centenary Bank,1214312890,Central Branch,,CM886558602146,,,,"Plot 21, Bombo Road",Gulu,Mbarara,Faith Byaruhanga,+256792683362,Child,
Doreen,,Apio,doreen.apio@company.co.ug,+256736683172,1988-02-27,Female,Widowed,Project Manager,Management,,Full-time,Active,2023-01-17,,No,,,,8797248,500000,300000,300000,100000,500000,Absa Bank,7090268322,Kampala Branch,,CM863522418470,,8733540589,,"Plot 126, Nakasero",Masaka,Mukono,Mary Nalwanga,+256764980052,Sibling,
Nantongo,,Tumwebaze,nantongo.tumwebaze@company.co.ug,+256786409575,1984-06-25,Female,Married,Department Manager,Management,manager.management@company.co.ug,Full-time,Active,2022-08-30,,Yes,nantongo.tumwebaze,Welcome2025!,Supervisor,8401798,400000,650000,350000,200000,0,Stanbic Bank,9817926810,Kampala Main,+256751332236,CM731355153374,,5512702948,52323519-19,"Plot 100, Nakasero",Gulu,Mbarara,Namukwaya Apio,+256725140664,Parent,
Samuel,Nakato,Mbabazi,samuel.mbabazi@company.co.ug,+256708575276,2005-09-12,Male,Single,Project Engineer,Engineering,manager.engineering@company.co.ug,Part-time,Active,2017-01-08,2017-07-07,No,,,,7570501,900000,0,0,250000,300000,Stanbic Bank,1771081065,Central Branch,+256754528039,CM838998902130,,,,"Plot 24, Nakasero",Entebbe,Gulu,Geoffrey Apio,+256773871201,Sibling,
James,,Kato,james.kato@company.co.ug,+256700495914,1999-07-16,Male,Married,Financial Analyst,Finance,,Full-time,Active,2023-08-15,2024-02-11,Yes,james.kato,Welcome2025!,Admin,6443901,700000,550000,0,300000,0,Absa Bank,4606927565,Kampala Branch,,CM810882018513,,7626307025,,"Plot 129, Ggaba Road",Mbale,Gulu,Doreen Apio,+256707184608,Parent,
Nakato,,Kato,nakato.kato@company.co.ug,+256760783068,1987-05-07,Female,Widowed,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2017-03-27,,No,,,,6917062,1700000,0,300000,0,0,Bank of Africa,1767748807,Central Branch,,CM703706859584,,7834716846,82801536-54,"Plot 41, Bombo Road",Kampala,Mbale,Faith Kato,+256748637896,Sibling,
Ronald,,Kiwanuka,ronald.kiwanuka@company.co.ug,+256710916395,1989-01-03,Male,Widowed,Procurement Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2018-12-20,,No,,,,4969454,1700000,850000,0,200000,0,Stanbic Bank,5690821591,Central Branch,+256750832745,CM933022074348,,,31780936-71,"Plot 34, Bombo Road",Gulu,Mbarara,Sarah Nakandi,+256726325756,Friend,
Mary,,Mukasa,mary.mukasa@company.co.ug,+256788608732,1997-07-07,Female,Married,Logistics Coordinator,Operations,manager.operations@company.co.ug,Contract,Active,2020-08-03,,No,,,,7275095,1000000,250000,0,150000,0,Absa Bank,2893998910,Central Branch,+256753841285,CM827709222052,,,,"Plot 33, Old Kampala Road",Entebbe,Mbale,Geoffrey Mbabazi,+256712509675,Parent,
Brian,,Ssekitto,brian.ssekitto@company.co.ug,+256717937233,1975-11-27,Male,Widowed,Department Manager,Management,manager.management@company.co.ug,Full-time,Active,2022-07-24,,No,,,,3968510,1600000,750000,0,0,0,Stanbic Bank,3014555536,Kampala Branch,,CM815024022420,,4897548419,57323813-76,"Plot 46, Old Kampala Road",Kampala,Mukono,Gloria Nalwanga,+256737761523,Spouse,
Geoffrey,Doreen,Ssekitto,geoffrey.ssekitto@company.co.ug,+256785910625,1999-06-22,Male,Single,Operations Manager,Operations,manager.operations@company.co.ug,Full-time,Active,2019-04-01,2019-09-28,No,,,,1799264,300000,700000,250000,0,0,Centenary Bank,5125872452,Central Branch,,CM904200929323,,,55923436-45,"Plot 121, Old Kampala Road",Fort Portal,Jinja,Patrick Kiwanuka,+256752090611,Spouse,
Gloria,,Asiimwe,gloria.asiimwe@company.co.ug,+256758467497,1976-03-22,Female,Married,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Contract,Active,2023-02-06,,Yes,gloria.asiimwe,Welcome2025!,Supervisor,7198352,700000,550000,300000,0,0,Centenary Bank,4915890896,Kampala Branch,+256756363703,CM977610524021,,,40615504-60,"Plot 133, Ggaba Road",Fort Portal,Kampala,Rebecca Tumwebaze,+256793568596,Spouse,
Faith,,Ssekitto,faith.ssekitto@company.co.ug,+256795209000,1990-12-21,Female,Divorced,Sales Executive,Sales,manager.sales@company.co.ug,Full-time,Active,2015-12-01,2016-05-29,No,,,,4563332,300000,0,400000,300000,0,Stanbic Bank,9919349493,Central Branch,+256755322256,CM996739417086,,3474956653,83119631-77,"Plot 55, Nakasero",Gulu,Kampala,Rebecca Tumwebaze,+256722730664,Spouse,
Prossy,Sarah,Ssekitto,prossy.ssekitto@company.co.ug,+256770139264,2003-03-15,Female,Married,Recruitment Specialist,Human Resources,,Full-time,Active,2024-09-25,,No,,,,5920086,1400000,800000,0,300000,0,Equity Bank,6012923262,Central Branch,,CM957487315194,,6015205937,,"Plot 192, Ggaba Road",Jinja,Wakiso,Faith Nalwanga,+256786158293,Spouse,
Simon,,Apio,simon.apio@company.co.ug,+256784583915,2001-02-11,Male,Single,Sales Manager,Sales,manager.sales@company.co.ug,Full-time,Active,2019-09-16,,No,,,,7314893,1600000,0,400000,0,0,Stanbic Bank,8562756233,Kampala Main,,CM726078423320,,,58848753-12,"Plot 76, Old Kampala Road",Gulu,Gulu,Ronald Apio,+256764048518,Friend,
Doreen,,Okello,doreen.okello@company.co.ug,+256760617556,1984-02-16,Female,Widowed,Project Engineer,Engineering,,Contract,Active,2025-06-09,,No,,,,2852814,1600000,0,0,0,0,Centenary Bank,1171560180,Central Branch,,CM761274698836,,,45388390-69,"Plot 48, Ggaba Road",Jinja,Wakiso,Stephen Nalwanga,+256743826191,Friend,
David,,Akello,david.akello@company.co.ug,+256717793540,1982-05-15,Male,Married,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2021-04-23,,No,,,,2513376,1500000,300000,300000,150000,0,Equity Bank,3748489385,Kampala Branch,,CM793946509234,,3267307607,75196018-68,"Plot 60, Ggaba Road",Entebbe,Mukono,Simon Okello,+256771412341,Child,
Sarah,,Nabukenya,sarah.nabukenya@company.co.ug,+256747662696,1979-10-23,Female,Married,Project Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2022-08-03,,Yes,sarah.nabukenya,Welcome2025!,Employee,7100614,400000,500000,400000,150000,0,Stanbic Bank,9518263316,Kampala Branch,+256754767713,CM796289581967,,,60839696-56,"Plot 133, Old Kampala Road",Mbarara,Mbale,Geoffrey Tumwebaze,+256736842459,Spouse,
Sarah,,Nabukenya,sarah.nabukenya@company.co.ug,+256735333502,2003-04-28,Female,Married,Operations Manager,Operations,manager.operations@company.co.ug,Full-time,Active,2022-04-16,2022-10-13,Yes,sarah.nabukenya,Welcome2025!,Admin,3794689,1500000,850000,500000,0,0,Centenary Bank,6870547992,Kampala Main,+256751786255,CM931381791045,,,90038748-47,"Plot 34, Ggaba Road",Mbarara,Wakiso,Gloria Nabukeera,+256764943111,Sibling,
John,,Okello,john.okello@company.co.ug,+256775766536,1990-08-14,Male,Widowed,Executive Director,Management,,Full-time,Active,2024-03-30,,No,,,,3806381,1300000,0,0,0,0,DFCU Bank,2282335698,Kampala Branch,,CM832664801203,,5658758759,,"Plot 23, Nakasero",Entebbe,Kampala,Peter Asiimwe,+256791322400,Child,
Ronald,John,Nabukenya,ronald.nabukenya@company.co.ug,+256700733339,1998-12-19,Male,Single,Marketing Officer,Sales,,Full-time,Active,2022-06-12,2022-12-09,No,,,,2245229,1100000,500000,400000,0,1100000,DFCU Bank,4625658133,Central Branch,,CM926777292135,,,94160540-23,"Plot 187, Ggaba Road",Mbale,Gulu,Moses Tumwebaze,+256769808340,Child,
Stephen,,Nabukenya,stephen.nabukenya@company.co.ug,+256706963347,1987-02-10,Male,Single,Auditor,Finance,manager.finance@company.co.ug,Full-time,Active,2019-03-02,,Yes,stephen.nabukenya,Welcome2025!,Admin,7086449,1700000,0,0,0,500000,Stanbic Bank,7817790639,Central Branch,+256758866205,CM806673327958,,5937548798,,"Plot 72, Ggaba Road",Mbarara,Mbale,Esther Kiwanuka,+256732290523,Spouse,
James,,Nakandi,james.nakandi@company.co.ug,+256726394354,1978-09-26,Male,Single,Marketing Officer,Sales,manager.sales@company.co.ug,Full-time,Active,2018-12-02,2019-05-31,Yes,james.nakandi,Welcome2025!,Admin,2912126,0,450000,250000,150000,1000000,Stanbic Bank,6940483309,Kampala Main,+256751503065,CM769565133699,,,,"Plot 120, Ggaba Road",Fort Portal,Wakiso,Geoffrey Byaruhanga,+256731829784,Sibling,
Grace,,Akello,grace.akello@company.co.ug,+256771673746,1987-02-16,Female,Single,Project Engineer,Engineering,,Full-time,Active,2020-03-10,,Yes,grace.akello,Welcome2025!,Employee,9277885,1200000,700000,500000,0,0,Stanbic Bank,5069434001,Kampala Main,,CM847765016339,,3995947948,50060617-23,"Plot 76, Nakasero",Kampala,Jinja,Brenda Nabukeera,+256728038942,Sibling,
Geoffrey,,Kiwanuka,geoffrey.kiwanuka@company.co.ug,+256716044419,1975-10-18,Male,Single,Software Engineer,Engineering,manager.engineering@company.co.ug,Contract,Active,2015-10-17,2016-04-14,No,,,,5313887,1300000,250000,150000,300000,0,Equity Bank,6074403225,Central Branch,,CM762070478932,,,,"Plot 79, Old Kampala Road",Fort Portal,Mbarara,Prossy Tumwebaze,+256700255018,Friend,
Mary,Nakato,Kato,mary.kato@company.co.ug,+256747080348,1995-11-13,Female,Married,Procurement Officer,Operations,manager.operations@company.co.ug,Contract,Active,2019-05-18,,Yes,mary.kato,Welcome2025!,Employee,3091651,0,200000,0,0,400000,Equity Bank,1598248959,Kampala Main,,CM806924575200,,,69642746-62,"Plot 76, Entebbe Road",Mbarara,Jinja,Simon Kato,+256727585840,Parent,
Simon,,Mukasa,simon.mukasa@company.co.ug,+256758028358,1997-02-27,Male,Single,Sales Manager,Sales,manager.sales@company.co.ug,Contract,Active,2019-02-27,2019-08-26,No,,,,9174278,0,0,0,150000,0,Equity Bank,3593083106,Kampala Main,+256757443603,CM793768066236,,,,"Plot 127, Ggaba Road",Fort Portal,Kampala,Nakato Kiwanuka,+256704242744,Friend,
Rebecca,,Kato,rebecca.kato@company.co.ug,+256767593956,1998-08-25,Female,Married,Project Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2025-06-18,,No,,,,6198961,1700000,700000,400000,150000,0,Bank of Africa,6471996989,Kampala Branch,,CM766819076324,,,69546375-43,"Plot 119, Bombo Road",Mbarara,Mukono,Peter Byaruhanga,+256794087337,Friend,
Simon,,Okello,simon.okello@company.co.ug,+256799614357,1992-06-28,Male,Widowed,Operations Manager,Operations,manager.operations@company.co.ug,Full-time,Active,2015-10-17,,No,,,,3621423,1100000,850000,0,0,0,Absa Bank,4850418975,Central Branch,,CM892234637150,,4708765710,,"Plot 176, Nakasero",Gulu,Gulu,Rebecca Nabukeera,+256790179034,Spouse,
Sarah,,Ssekitto,sarah.ssekitto@company.co.ug,+256771521599,2000-07-25,Female,Widowed,Sales Executive,Sales,manager.sales@company.co.ug,Contract,Active,2025-06-07,,No,,,,8462340,500000,0,0,100000,500000,DFCU Bank,7069324218,Kampala Main,,CM823031243372,,,56638262-64,"Plot 126, Old Kampala Road",Entebbe,Kampala,Sarah Akello,+256778351810,Parent,
Geoffrey,,Tumwebaze,geoffrey.tumwebaze@company.co.ug,+256791545082,1993-09-24,Male,Married,Marketing Officer,Sales,,Contract,Active,2022-10-22,2023-04-20,No,,,,6291472,600000,0,0,250000,0,Centenary Bank,9562138177,Kampala Main,+256751587010,CM983709302660,,5330761952,,"Plot 48, Ggaba Road",Jinja,Wakiso,Geoffrey Tumwebaze,+256771937885,Parent,
Rebecca,Gloria,Nabukenya,rebecca.nabukenya@company.co.ug,+256756042999,1996-02-20,Female,Single,Financial Analyst,Finance,manager.finance@company.co.ug,Contract,Active,2019-05-23,2019-11-19,Yes,rebecca.nabukenya,Welcome2025!,Supervisor,4828984,300000,500000,550000,300000,0,Stanbic Bank,3369441199,Kampala Branch,,CM923616613870,,1734492210,59177345-18,"Plot 131, Ggaba Road",Mbarara,Mbarara,Brenda Apio,+256759813530,Child,
Geoffrey,,Akello,geoffrey.akello@company.co.ug,+256773121309,1980-06-28,Male,Divorced,Mechanical Engineer,Engineering,manager.engineering@company.co.ug,Part-time,Active,2022-02-21,,Yes,geoffrey.akello,Welcome2025!,Supervisor,9178885,1100000,0,0,100000,0,Bank of Africa,5426086743,Kampala Branch,+256755984527,CM929387857372,,3544606903,,"Plot 12, Old Kampala Road",Mbale,Mukono,John Okello,+256714657433,Parent,
Moses,,Akello,moses.akello@company.co.ug,+256743141449,1999-07-17,Male,Divorced,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Contract,Active,2019-04-24,,Yes,moses.akello,Welcome2025!,Admin,9142589,800000,0,200000,0,0,DFCU Bank,3026694949,Kampala Branch,+256751006525,CM864616252417,,,66541414-90,"Plot 201, Entebbe Road",Gulu,Mbale,Patrick Tumwebaze,+256724753021,Spouse,
Brian,,Tumwebaze,brian.tumwebaze@company.co.ug,+256734950599,2002-03-02,Male,Divorced,Electrical Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2016-12-30,,No,,,,1935004,1100000,750000,400000,0,0,Absa Bank,1218682846,Kampala Main,+256752980031,CM923987524540,,4305824002,,"Plot 36, Ggaba Road",Kampala,Mukono,Nantongo Kato,+256700925122,Sibling,
Grace,Francis,Asiimwe,grace.asiimwe@company.co.ug,+256711758006,1978-09-26,Female,Married,Sales Manager,Sales,manager.sales@company.co.ug,Contract,Active,2017-06-25,2017-12-22,No,,,,9479944,0,350000,0,100000,700000,DFCU Bank,2014920450,Kampala Main,+256753199768,CM901076824801,,,,"Plot 52, Old Kampala Road",Entebbe,Gulu,Prossy Mbabazi,+256756044517,Child,
Grace,,Nabukenya,grace.nabukenya@company.co.ug,+256766064328,1994-12-14,Female,Divorced,Civil Engineer,Engineering,,Full-time,Active,2023-03-03,2023-08-30,Yes,grace.nabukenya,Welcome2025!,Employee,8260455,1700000,800000,400000,300000,0,Stanbic Bank,4151208412,Kampala Branch,,CM939760792461,,,32360871-36,"Plot 95, Entebbe Road",Jinja,Jinja,Lydia Nabukenya,+256746606057,Child,
Ronald,,Asiimwe,ronald.asiimwe@company.co.ug,+256749816817,1995-10-06,Male,Widowed,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2024-02-23,,No,,,,8543582,0,450000,0,150000,0,DFCU Bank,2376001636,Kampala Main,,CM933192159039,,3415507744,99175752-34,"Plot 21, Entebbe Road",Kampala,Kampala,Nantongo Nalwanga,+256777428435,Sibling,
John,,Nakandi,john.nakandi@company.co.ug,+256735002766,1987-12-17,Male,Single,General Manager,Management,manager.management@company.co.ug,Part-time,Active,2023-05-19,,No,,,,9406599,800000,500000,200000,200000,0,Stanbic Bank,2685497409,Central Branch,,CM956741223684,,1484836490,81838351-96,"Plot 93, Old Kampala Road",Fort Portal,Gulu,Lydia Asiimwe,+256711613921,Parent,
Rebecca,John,Mbabazi,rebecca.mbabazi@company.co.ug,+256792114138,2002-11-13,Female,Single,Department Manager,Management,,Full-time,Active,2018-05-03,,No,,,,5803650,1100000,0,150000,150000,0,Stanbic Bank,4390850741,Central Branch,,CM834911514486,,3403641801,46369548-79,"Plot 138, Ggaba Road",Kampala,Wakiso,James Kato,+256746537644,Spouse,
John,,Mbabazi,john.mbabazi@company.co.ug,+256783933420,1976-07-23,Male,Divorced,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2021-01-08,,Yes,john.mbabazi,Welcome2025!,Employee,6242448,800000,0,250000,0,0,Centenary Bank,8653680757,Kampala Main,,CM748799587519,,4786445732,71975648-93,"Plot 158, Nakasero",Gulu,Jinja,Doreen Nalwanga,+256706011234,Parent,
Brian,Charles,Okello,brian.okello@company.co.ug,+256705528832,1992-04-15,Male,Single,Business Development Manager,Sales,,Full-time,Active,2014-08-07,2015-02-03,Yes,brian.okello,Welcome2025!,Employee,2315655,1100000,350000,200000,150000,0,Stanbic Bank,7173810597,Kampala Main,,CM784153215846,,,,"Plot 6, Entebbe Road",Mbarara,Mukono,David Nakandi,+256782589274,Child,
Rebecca,,Mukasa,rebecca.mukasa@company.co.ug,+256723165612,2004-04-14,Female,Divorced,Training Coordinator,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2018-11-17,,Yes,rebecca.mukasa,Welcome2025!,Admin,7826927,800000,0,0,200000,1100000,Absa Bank,5782876985,Kampala Branch,,CM739319494133,,,,"Plot 141, Old Kampala Road",Masaka,Mbarara,Charles Akello,+256732299230,Child,
Stephen,Stephen,Nabukeera,stephen.nabukeera@company.co.ug,+256750908824,1995-02-10,Male,Divorced,Senior Accountant,Finance,,Full-time,Active,2025-07-08,,No,,,,4457669,1400000,0,0,0,1100000,Stanbic Bank,7526482863,Central Branch,,CM889517108452,,4723943394,,"Plot 49, Nakasero",Masaka,Gulu,Ronald Akello,+256788346160,Parent,
Francis,Mary,Byaruhanga,francis.byaruhanga@company.co.ug,+256762959051,1994-12-02,Male,Divorced,Payroll Officer,Finance,manager.finance@company.co.ug,Full-time,Active,2019-03-19,,Yes,francis.byaruhanga,Welcome2025!,Employee,9331751,0,450000,150000,300000,0,Bank of Africa,1360952290,Kampala Branch,,CM703491289779,,8917421970,35974124-96,"Plot 119, Entebbe Road",Jinja,Mbarara,Namukwaya Ssekitto,+256795190282,Spouse,
Stephen,,Byaruhanga,stephen.byaruhanga@company.co.ug,+256778284629,1986-11-16,Male,Widowed,Electrical Engineer,Engineering,,Full-time,Active,2014-08-12,,Yes,stephen.byaruhanga,Welcome2025!,Supervisor,6820506,500000,200000,0,150000,0,Stanbic Bank,3702035753,Central Branch,+256759301250,CM814840406036,,2966059881,78660817-97,"Plot 41, Entebbe Road",Mbarara,Mbale,Brian Mbabazi,+256785333183,Sibling,
Lydia,,Kiwanuka,lydia.kiwanuka@company.co.ug,+256754430082,1998-10-13,Female,Married,Civil Engineer,Engineering,,Full-time,Active,2015-04-15,,Yes,lydia.kiwanuka,Welcome2025!,Employee,5940999,1000000,0,300000,150000,0,Stanbic Bank,3566383247,Kampala Main,+256750493831,CM725444933464,,7555304244,81006570-10,"Plot 165, Entebbe Road",Fort Portal,Mbale,Nantongo Mukasa,+256736279222,Spouse,
Peter,,Okello,peter.okello@company.co.ug,+256720165212,1981-01-15,Male,Widowed,Payroll Officer,Finance,manager.finance@company.co.ug,Full-time,Active,2019-03-01,,No,,,,1559021,1200000,600000,0,0,400000,Centenary Bank,7734670620,Central Branch,+256754351453,CM858625199128,,3812421484,62826008-81,"Plot 83, Bombo Road",Entebbe,Mbarara,Samuel Mukasa,+256712803892,Sibling,
Geoffrey,Grace,Byaruhanga,geoffrey.byaruhanga@company.co.ug,+256756002172,1998-12-11,Male,Married,Payroll Officer,Finance,manager.finance@company.co.ug,Full-time,Active,2024-03-20,2024-09-16,No,,,,4395091,1600000,700000,150000,100000,0,Equity Bank,4314388218,Kampala Branch,,CM732185263140,,,,"Plot 91, Ggaba Road",Mbarara,Kampala,Geoffrey Kiwanuka,+256748644008,Parent,
Rebecca,Geoffrey,Ssekitto,rebecca.ssekitto@company.co.ug,+256728975393,1987-09-27,Female,Single,Auditor,Finance,manager.finance@company.co.ug,Contract,Active,2017-11-07,,Yes,rebecca.ssekitto,Welcome2025!,Supervisor,7750596,1200000,350000,400000,300000,0,Bank of Africa,6599045105,Kampala Main,+256750844318,CM758983002093,,,,"Plot 213, Old Kampala Road",Kampala,Wakiso,Rebecca Kiwanuka,+256786626932,Friend,
Patrick,,Nabukeera,patrick.nabukeera@company.co.ug,+256715800583,1982-10-12,Male,Widowed,Operations Manager,Operations,,Full-time,Active,2014-01-30,,Yes,patrick.nabukeera,Welcome2025!,Supervisor,4353383,1000000,700000,350000,0,700000,Bank of Africa,8511999549,Kampala Branch,+256750160375,CM949823724002,,9078863897,,"Plot 195, Bombo Road",Entebbe,Jinja,Prossy Byaruhanga,+256731613805,Parent,
Namukwaya,,Kiwanuka,namukwaya.kiwanuka@company.co.ug,+256703312643,2001-05-02,Female,Widowed,Procurement Officer,Operations,,Contract,Active,2014-06-13,,Yes,namukwaya.kiwanuka,Welcome2025!,Admin,7175244,400000,800000,500000,200000,200000,Centenary Bank,8610680026,Kampala Branch,,CM808133095835,,,,"Plot 144, Ggaba Road",Entebbe,Kampala,Namukwaya Mukasa,+256756670224,Friend,
John,,Ssekitto,john.ssekitto@company.co.ug,+256701116829,1982-12-02,Male,Widowed,HR Manager,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2022-06-30,,No,,,,7066262,1200000,0,150000,200000,700000,Equity Bank,8625621129,Kampala Branch,,CM815489596555,,,,"Plot 184, Entebbe Road",Gulu,Mbale,Francis Ssekitto,+256787480892,Sibling,
Francis,Stephen,Mbabazi,francis.mbabazi@company.co.ug,+256761126216,1999-01-02,Male,Widowed,Project Manager,Management,,Full-time,Active,2015-11-21,,Yes,francis.mbabazi,Welcome2025!,Employee,1709841,0,600000,150000,0,900000,DFCU Bank,8535457965,Kampala Branch,,CM862855228414,,,63281826-35,"Plot 161, Bombo Road",Fort Portal,Wakiso,Namukwaya Apio,+256725893915,Sibling,
Peter,,Ssekitto,peter.ssekitto@company.co.ug,+256798104861,1991-12-06,Male,Single,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2014-03-25,,Yes,peter.ssekitto,Welcome2025!,Admin,8336482,0,0,200000,150000,900000,DFCU Bank,4677564797,Kampala Main,,CM949892551166,,,,"Plot 190, Entebbe Road",Fort Portal,Jinja,Grace Okello,+256774163001,Spouse,
Patrick,,Kiwanuka,patrick.kiwanuka@company.co.ug,+256740028648,1994-04-08,Male,Single,Accountant,Finance,,Contract,Active,2018-01-20,,Yes,patrick.kiwanuka,Welcome2025!,Supervisor,6453348,0,600000,500000,0,0,Stanbic Bank,4953005159,Kampala Branch,+256756468674,CM712164174125,,4578836500,65458094-38,"Plot 148, Entebbe Road",Gulu,Wakiso,Brenda Ssekitto,+256731718030,Friend,
Samuel,Francis,Apio,samuel.apio@company.co.ug,+256759269818,1975-11-04,Male,Married,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2015-02-04,,Yes,samuel.apio,Welcome2025!,Employee,7459024,400000,250000,250000,250000,700000,Equity Bank,6765644527,Central Branch,,CM749198876680,,5132440552,85034742-39,"Plot 162, Nakasero",Kampala,Kampala,Charles Asiimwe,+256714276280,Sibling,
Gloria,,Kiwanuka,gloria.kiwanuka@company.co.ug,+256779208147,1977-05-25,Female,Divorced,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2021-05-02,,Yes,gloria.kiwanuka,Welcome2025!,Admin,3328864,0,800000,250000,0,0,Centenary Bank,3294439790,Kampala Main,+256757798405,CM813938825653,,7238737938,,"Plot 203, Ggaba Road",Gulu,Mbarara,Achen Mbabazi,+256719069688,Parent,
Samuel,,Mukasa,samuel.mukasa@company.co.ug,+256781530397,1988-07-13,Male,Single,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2018-12-19,2019-06-17,Yes,samuel.mukasa,Welcome2025!,Supervisor,8660963,1300000,0,550000,100000,500000,Centenary Bank,9053739560,Kampala Main,,CM738203663705,,8455962115,80776671-92,"Plot 216, Entebbe Road",Gulu,Mukono,Lydia Kiwanuka,+256754610180,Friend,
Rebecca,,Kiwanuka,rebecca.kiwanuka@company.co.ug,+256780587214,1998-01-13,Female,Single,Senior Accountant,Finance,manager.finance@company.co.ug,Full-time,Active,2022-07-30,2023-01-26,No,,,,4616249,1100000,400000,200000,200000,0,Bank of Africa,3076025209,Central Branch,,CM935200749520,,9573196730,,"Plot 44, Nakasero",Mbale,Mukono,Prossy Akello,+256749008933,Parent,
Samuel,,Ssekitto,samuel.ssekitto@company.co.ug,+256717994164,1985-10-08,Male,Divorced,Business Development Manager,Sales,manager.sales@company.co.ug,Full-time,Active,2016-12-07,,No,,,,9073727,300000,800000,0,250000,0,DFCU Bank,8598398997,Kampala Branch,,CM743836032195,,6212569710,,"Plot 37, Entebbe Road",Fort Portal,Mukono,Brenda Asiimwe,+256781885525,Child,
